TimePoint,GCaMP,jRGECO
383,111620.001416089,64504.3445769726
384,111791.181778758,64644.6551767684
385,111486.267496695,64284.9069675643
386,111006.772433059,64381.1620634623
387,110984.872109215,64068.927297965
388,110511.614777831,63310.3568330685
389,111004.874650553,63853.3776261986
390,110995.608877355,63896.2758047833
391,109971.259993775,63970.5541397261
392,110323.125659934,63386.7446973106
393,109930.583485677,63781.7382950289
394,110257.711634217,64388.9643692828
395,110601.75530505,64396.6671935837
396,110863.442751943,63492.488593107
397,111128.64103516,64288.4368627517
398,110140.576128116,63386.8813208355
399,110434.993609197,64339.8932637184
400,110860.166887569,63804.2233184719
401,110219.411184984,63621.8904816783
402,112311.079797228,64358.9634192721
403,113279.097971783,65177.6393003048
404,113927.93690981,65244.5820111243
405,113952.806971888,65714.8186013917
406,114286.862876918,66085.4741296245
407,115358.664132958,66886.7351921633
408,115627.457207577,66482.0135867893
409,116133.82400441,67879.995873288
410,116803.367537646,67492.0740814286
411,116874.842426334,67111.9400560885
412,116893.24429594,67982.9595453614
413,117292.144147317,68154.6378312088
414,117434.440045577,67907.7302305791
415,117136.258748444,68184.7877018116
416,117163.93900064,68022.1278272796
417,116089.881176617,68188.3693975206
418,116959.056799749,68610.5500811656
419,117085.470310616,68857.6345145315
420,116851.39881708,68066.8257649959
421,116322.494142386,67665.0046130099
422,117279.948579505,69019.1742379996
423,115699.306639834,68257.3135541955
424,115265.488945139,68592.967107925
425,116741.489123407,68571.0189137753
426,115719.864088914,68652.8482312219
427,116087.121556821,68839.9994658264
428,115745.084341523,68781.8511433358
429,115835.837108178,68738.9545339963
430,116052.938414627,68204.9977421671
431,116450.584380492,68501.6880971853
432,115968.912305914,68620.9887069829
433,115959.58102089,68649.5989033428
434,117529.459094657,68199.5198478309
435,117268.158872249,68910.7304002586
436,116995.323662469,68416.0944938479
437,116733.62857696,69148.3430713481
438,117239.887874448,69055.6069876734
439,117584.030838683,68808.9014281426
440,116957.763917408,69107.76430992
441,117868.421328383,69199.5497124413
442,116495.421461033,69114.8074587349
443,116352.138991385,68305.9978310019
444,117321.823344883,68459.1630769022
445,116755.654890184,68571.2979257913
446,117467.086622351,68687.016211888
447,116437.822256141,68315.94037009
448,116563.378703602,68547.7497685927
449,117093.870780325,68802.2053754283
450,116007.939420115,68378.7340136688
451,116329.418511039,68155.008961287
452,115836.353243104,67795.8148471855
453,114873.882780983,68071.9359779431
454,115998.28557675,67965.4256636958
455,115369.361391335,67924.8372379845
456,115594.013832184,68036.362884228
457,114511.297618644,67580.3437759935
458,115792.402607205,67647.897185568
459,115034.258710708,68015.2186232454
460,115891.782189632,68028.6202035233
461,114750.623565167,67662.7426831077
462,114361.137662028,67594.7622162582
463,115023.346492499,67588.0647435938
464,114160.013474982,67108.095458627
465,113806.941994492,67178.6786435417
466,114012.288731185,66787.441207575
467,113142.648294934,66692.4485566544
468,113626.957785928,66820.1407422575
469,113770.584663078,66708.2458456619
470,113087.539217335,67088.6577740371
471,113044.029072664,66743.484316476
472,113466.150140688,66959.5452392296
473,113252.112430652,67124.6083776293
474,112968.260358507,66332.257531455
475,112798.925694087,66615.6092056212
476,113435.434735761,66786.9183286439
477,112447.464699047,66412.1697806896
478,112023.578946986,65912.4771207049
479,112515.777067777,66609.5647684277
480,112585.006045255,66075.6379247189
481,111566.79652203,65824.665890198
482,112328.368495445,66303.3523224365
483,111714.93365921,66244.253616273
484,111918.109309055,66070.5014416075
485,112449.507160845,66064.093135738
486,111108.133246345,66341.7051974515
487,111389.648280061,65793.9820844838
488,111863.425529271,66349.8336546623
489,111624.23533591,65854.8035937973
490,110750.966299414,65373.5160898315
491,111600.049745162,65899.6279482456
492,111957.410058887,66213.4950728053
493,111434.703634442,65710.5153744707
494,111225.253485503,66194.9846711508
495,110983.721644443,65566.3306368487
496,111730.018758591,66462.3944637621
497,110680.110034897,65894.5410436383
498,111354.884053339,65759.8383281585
499,111815.220038292,65821.723587695
500,111636.017555168,66320.7535257148
501,111361.323989894,66360.4454031351
502,110607.124376935,65454.9663709971
503,111248.299477382,66118.1086064388
504,111855.856059203,66476.6612318915
505,111332.647691659,65382.4050551509
506,110667.066610828,65402.1851121928
507,110968.044879586,66363.570292024
508,111671.612364568,66308.3475928091
509,110115.356629736,65373.4296398132
510,109988.091575946,65209.5910083807
511,109197.257047273,65092.8279733933
512,110044.133097332,65105.5187218242
513,110607.507730121,65493.1392665465
514,110130.026438823,65252.3151724665
515,109875.937155279,65491.510165107
516,109077.545012307,64547.2938534275
517,109780.840489841,65126.0127258605
518,108569.075243939,64838.4751755744
519,109766.726624985,64836.7800811677
520,109391.022957058,65183.3949350534
521,108559.344070491,64126.4277368473
522,109780.51187677,64307.8499087531
523,109617.629667045,64630.0595679989
524,110203.327149922,64379.2760664404
525,109111.189823596,64577.8636246104
526,108595.918662918,64459.5840262656
527,109675.661906745,65092.8034021428
528,110202.65234346,65238.4298060012
529,109228.863524727,64883.2609951952
530,109614.362506989,64912.7906051285
531,109148.57993142,64273.8350156912
532,109698.69451186,64125.0857707782
533,109427.960329095,64839.4907137966
534,109665.802214332,64946.3926276551
535,109313.708212879,64553.4277196895
536,109470.990855348,65071.7482315435
537,110594.255014912,64698.2605181017
538,109521.902974905,64290.2036246371
539,108594.409093999,64353.888338681
540,109298.539835056,64174.0503315033
541,110082.525863106,64362.1545649005
542,109640.485671616,64561.8039246055
