Wavelength_nm,GCaMP,jRGECO
577.229,0.000421234051464008,0.00341156772876487
577.57,0.000429210318876509,0.00360729918356543
577.912,0.000435573393942203,0.00379901248740635
578.253,0.000443645861548229,0.00401331976023988
578.594,0.000450669908686226,0.00422801998365055
578.936,0.000457620099706303,0.00445317790000589
579.277,0.000463572333331596,0.00467751810318129
579.618,0.000468812569316543,0.00490535317177551
579.959,0.000473127475218191,0.0051346231645838
580.3,0.000478735403425186,0.00537069141790481
580.641,0.000485051552235678,0.00562338171441479
580.982,0.000489730886987091,0.00586855816076179
581.323,0.000495081396370092,0.00610712770188163
581.664,0.000501124653028343,0.00636285811554731
582.005,0.000506327932910314,0.00661796068736764
582.346,0.000513038082613318,0.0068719149633889
582.686,0.000519523203658146,0.00713173641059609
583.027,0.000525642015344424,0.0073947062292995
583.368,0.000532184055874883,0.0076504093610284
583.708,0.00053815145523663,0.00790593032761133
584.049,0.000543468213214006,0.00815958127712898
584.389,0.000548530075614606,0.0084091494485035
584.73,0.000553086041150528,0.00866006082644469
585.07,0.000557258253048366,0.00891214305802964
585.41,0.000560590155586161,0.009155564665558
585.75,0.000563222753442045,0.00939593385374571
586.091,0.00056568002591878,0.009636655055475
586.431,0.000567698547758595,0.00986116048693766
586.771,0.000569117275914244,0.0100823554226294
587.111,0.000570022733186292,0.0102960542897485
587.451,0.000570766713518386,0.010502342038793
587.791,0.000570832382056095,0.0107027316876002
588.131,0.000571011581736727,0.0108912581753866
588.471,0.000572258712237013,0.0110726076405173
588.811,0.000572788763792987,0.0112450509709915
589.151,0.00057215445501846,0.0113986239870079
589.49,0.000571015435800445,0.0115453847647669
589.83,0.000569589777034837,0.0116914857982138
590.17,0.000566653033431721,0.0118199735290293
590.509,0.000563052023241198,0.0119477990315215
590.849,0.000558462993837675,0.0120599347621212
591.188,0.000555577698385079,0.0121586507296375
591.528,0.000553952323231748,0.0122441051132799
591.867,0.000551792156428112,0.0123194334178648
592.206,0.000550561136733269,0.0123806604206393
592.546,0.000549839914803631,0.012430739347048
592.885,0.000548293333295283,0.012462729062517
593.224,0.000543917146216046,0.0124931268028846
593.563,0.000537516756188933,0.0125105874194085
593.902,0.000531211459404075,0.0125316860422964
594.242,0.000523518336569484,0.0125372270235258
594.581,0.00051508149936012,0.0125319822955293
594.919,0.000505865688465183,0.012508081363595
595.258,0.000499193460672888,0.012476279199587
595.597,0.000493000669513539,0.0124340307031452
595.936,0.000486101620641095,0.0123741306942271
596.275,0.000478553239301774,0.012304501666578
596.613,0.00047085952628224,0.0122322961430307
596.952,0.000462757620963337,0.0121496556179359
597.291,0.000454676369347197,0.01205262741652
597.629,0.000446416932367286,0.0119474723643269
597.968,0.000437911231266693,0.0118352752982505
598.306,0.000428332794071291,0.0117093293631687
598.645,0.000418652445033627,0.0115813186339932
598.983,0.0004082780973698,0.0114319155198666
599.321,0.000397157381568514,0.0112767154651118
599.66,0.000385772908755714,0.011113145716368
599.998,0.000374420153591351,0.0109475126650608
600.336,0.000364081804748804,0.0107753815783755
600.674,0.000353526692902752,0.0105941654923853
601.012,0.000342766761109086,0.0104014152286779
601.35,0.000333706688537971,0.010186520897318
601.688,0.000324897350249128,0.00997768091507027
602.026,0.000316308502304986,0.0097737016755272
602.364,0.000307167785930277,0.00954705373921465
602.702,0.000298006177357473,0.00931798378784351
603.04,0.000288927984473801,0.00908878181515196
603.377,0.00027977736942985,0.0088485457870904
603.715,0.00027026081358393,0.00859492477979774
604.053,0.000260869581228257,0.00834749587709839
604.39,0.00025085209055626,0.00810007100910711
604.728,0.000240909446209033,0.00785165720136728
605.065,0.000231010013582346,0.00760211723648331
605.403,0.000221021953472423,0.00735173308464762
605.74,0.000211135748998443,0.0070999403583329
606.077,0.000201299863420548,0.00685115739836576
606.415,0.000190978382057349,0.00660084296223726
606.752,0.000180977254805395,0.0063547490823577
607.089,0.000171369911690571,0.00611519445328804
607.426,0.000162226136436027,0.00588376889270038
607.763,0.00015325000063885,0.00565201040312295
608.1,0.000144736837918942,0.00541939410686182
608.437,0.000137026604446277,0.00518464468951187
608.774,0.000129710214464118,0.00496063888634834
609.111,0.000122664269383863,0.00473910928748891
609.448,0.000116046235839872,0.00452286386437731
609.785,0.000109699445930065,0.00431394846018021
610.121,0.000103516177866351,0.00410927413103328
